State,Incident Date,# Killed,Age
Arizona,"May 9, 2019",1,Adult
Florida,"May 8, 2019",1,Adult
Wisconsin,"May 5, 2019",1,Adult
Illinois,"May 4, 2019",1,Adult
Georgia,"May 3, 2019",1,Adult
Texas,"May 2, 2019",1,Adult
Arizona,"April 29, 2019",1,Adult
Massachusetts,"April 27, 2019",1,Adult
New York,"April 21, 2019",1,Adult
Ohio,"April 20, 2019",1,Adult
Mississippi,"April 20, 2019",1,Adult
Tennessee,"April 15, 2019",1,Adult
Missouri,"April 14, 2019",1,Adult
New York,"April 14, 2019",1,Adult
New York,"April 13, 2019",1,Adult
North Carolina,"April 13, 2019",1,Adult
Kentucky,"April 13, 2019",1,Adult
Texas,"April 13, 2019",1,Adult
Alabama,"April 13, 2019",1,Adult
Texas,"April 12, 2019",1,Adult
Georgia,"April 8, 2019",1,Adult
Mississippi,"April 7, 2019",1,Adult
Maryland,"April 7, 2019",1,Adult
Alabama,"April 5, 2019",1,Adult
Mississippi,"April 4, 2019",1,Adult
Virginia,"April 3, 2019",1,Adult
Indiana,"April 3, 2019",1,Adult
New Mexico,"April 2, 2019",1,Adult
Texas,"March 31, 2019",1,Adult
Georgia,"March 30, 2019",1,Adult
Kansas,"March 30, 2019",1,Adult
New York,"March 25, 2019",1,Adult
Iowa,"March 24, 2019",1,Adult
Utah,"March 24, 2019",1,Adult
Arkansas,"March 22, 2019",1,Adult
North Carolina,"March 22, 2019",1,Adult
Arizona,"March 22, 2019",1,Adult
Ohio,"March 20, 2019",1,Adult
Mississippi,"March 20, 2019",1,Adult
Texas,"March 19, 2019",1,Adult
Utah,"March 18, 2019",1,Adult
Texas,"March 18, 2019",1,Adult
Florida,"March 16, 2019",1,Adult
Tennessee,"March 15, 2019",1,Adult
Mississippi,"March 14, 2019",1,Adult
Texas,"March 13, 2019",1,Adult
Virginia,"March 11, 2019",1,Adult
Michigan,"March 9, 2019",1,Adult
Louisiana,"March 9, 2019",1,Adult
New Jersey,"March 9, 2019",1,Adult
Illinois,"March 9, 2019",1,Adult
Mississippi,"March 9, 2019",1,Adult
Georgia,"March 8, 2019",1,Adult
West Virginia,"March 7, 2019",1,Adult
Texas,"March 5, 2019",1,Adult
Missouri,"March 4, 2019",1,Adult
Ohio,"February 24, 2019",1,Adult
South Carolina,"February 23, 2019",1,Adult
South Carolina,"February 20, 2019",1,Adult
Oregon,"February 19, 2019",1,Adult
Indiana,"February 18, 2019",1,Adult
Iowa,"February 17, 2019",1,Adult
Louisiana,"February 13, 2019",1,Adult
Texas,"February 9, 2019",1,Adult
Mississippi,"February 9, 2019",2,Adult
Alabama,"February 9, 2019",1,Adult
South Carolina,"February 7, 2019",1,Adult
Texas,"February 5, 2019",1,Adult
Utah,"February 5, 2019",1,Adult
